symbol, buzz, bullish%, current_price, target_mean, target_diff_from_cur, target_diff_hilow, possible_downside, 30dayPositiveChange, 60dayPositiveChange, CurrentStrongBuy, CurrentStrongSell, CurrentPercentPositive
0,2020-07-07 18:12:40.302268,ABR-B, -1, -1, None, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:12:45.128325,ABR-C, -1, -1, 0.0, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:12:49.861413,ABT, 0.6545, 1, 92.46, 102.13, 9.67, 34.0, -13.46, -3, -2, 8, 0, 67.0
0,2020-07-07 18:12:54.595929,ABTX, 1.0, 0, 23.17, 28.67, 5.5, 5.0, 3.83, 7, 7, 4, 0, 70.0
0,2020-07-07 18:12:59.276611,ABUS, -1, -1, 1.86, 9.32, 7.46, 7.5, 3.64, 0, 1, 4, 0, 85.0
0,2020-07-07 18:13:03.959449,AC, -1, -1, 38.18, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:13:08.648351,ACA, -1, -1, 39.87, 48.0, 8.13, 9.0, 3.13, -3, -3, 1, 0, 86.0
0,2020-07-07 18:13:13.449301,ACAD, 0.4761, 1, 57.0, 57.82, 0.82, 31.0, -16.0, -5, -4, 4, 0, 81.0
0,2020-07-07 18:13:18.171143,ACAM, -1, -1, 10.26, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:13:22.848261,ACAMU, -1, -1, 11.65, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:13:27.524714,ACAMW, -1, -1, 0.9752, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:13:32.215503,ACB, 0.3692, 1, 12.42, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:13:37.019823,ACBI, -1, -1, 10.8, 14.19, 3.39, 3.75, 1.2, -2, -2, 2, 0, 50.0
0,2020-07-07 18:13:41.918020,ACC, 0.0, 0, 32.94, 38.25, 5.31, 15.0, -2.94, -1, -1, 3, 0, 47.0
0,2020-07-07 18:13:47.098980,ACCO, 1.0, 0, 6.47, 12.2, 5.73, 6.0, 1.53, -1, -1, 4, 0, 73.0
0,2020-07-07 18:13:52.296979,ACEL, 0.8, 0, 9.05, 12.33, 3.28, 3.0, 1.95, None, None, -1, -1, -1
0,2020-07-07 18:13:57.704041,ACEL+, 0.8, 0, 0.0, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:14:02.908245,ACER, -1, -1, 3.13, 9.0, 5.87, 2.0, 4.87, -7, -7, 0, 2, 0.0
0,2020-07-07 18:14:08.314323,ACES, -1, -1, 41.63, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:14:13.830015,ACGL, 0.0, 0, 27.51, 36.11, 8.6, 18.0, -2.51, 0, 0, 3, 0, 52.0
0,2020-07-07 18:14:19.118418,ACGLO, -1, -1, 25.03, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:14:24.346667,ACGLP, -1, -1, 24.51, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
